# a Fx[N] Fy[N] Fz[N] Nx[Nm] Ny[Nm] Nz[Nm]
2.08 -2.05354e-13 -6.8511e-29 2.0025e-12 2.03022e-36 1.933e-21 7.11692e-35
2.0805 -1.84713e-13 3.06497e-30 1.93062e-12 6.12493e-37 1.87262e-21 6.17053e-35
2.081 -1.62526e-13 -1.6778e-28 1.79235e-12 -6.75829e-35 1.7453e-21 -3.59192e-35
2.0815 -1.4152e-13 -7.91981e-29 1.61566e-12 -5.09522e-35 1.57794e-21 4.66903e-35
2.082 -1.23395e-13 -1.02981e-28 1.42747e-12 -1.76304e-36 1.39703e-21 2.2018e-35
2.0825 -1.0876e-13 -5.67437e-29 1.24675e-12 -7.1395e-35 1.22161e-21 4.30391e-35
2.083 -9.74835e-14 -1.03736e-28 1.08366e-12 3.95903e-35 1.06214e-21 -7.03447e-36
2.0835 -8.9084e-14 -1.32671e-28 9.41828e-13 7.97342e-36 9.2264e-22 2.98546e-35
2.084 -8.29926e-14 -6.59481e-29 8.21042e-13 4.97201e-35 8.03234e-22 -1.91126e-35
2.0845 -7.86843e-14 -2.01338e-29 7.19279e-13 4.32685e-35 7.02182e-22 -3.5528e-35
2.085 -7.57246e-14 9.28614e-30 6.33903e-13 3.67648e-35 6.17058e-22 -1.75618e-35
2.0855 -7.37731e-14 -5.0195e-30 5.62284e-13 2.12815e-35 5.4538e-22 1.43823e-36
2.086 -7.25713e-14 2.49654e-29 5.02059e-13 -1.99663e-35 4.84891e-22 9.35668e-36
2.0865 -7.19258e-14 5.06921e-28 4.51213e-13 3.65111e-35 4.33652e-22 4.00884e-37
2.087 -7.1693e-14 -7.42617e-28 4.08078e-13 7.87192e-36 3.90044e-22 -4.46049e-36
2.0875 -7.17666e-14 -1.97973e-28 3.71291e-13 1.72699e-36 3.52739e-22 4.79494e-36
2.088 -7.20677e-14 -1.99399e-28 3.39747e-13 -3.46554e-36 3.20656e-22 -2.31462e-36
2.0885 -7.25379e-14 -8.90544e-29 3.12551e-13 4.57941e-35 2.92914e-22 1.95446e-36
2.089 -7.31336e-14 -6.96076e-29 2.88978e-13 -1.58783e-35 2.688e-22 -8.50462e-36
2.0895 -7.38221e-14 -3.76757e-29 2.6844e-13 7.19563e-36 2.47733e-22 -1.1015e-35
2.09 -7.45791e-14 -5.37896e-29 2.50458e-13 5.55176e-36 2.29237e-22 1.92539e-36
2.0905 -7.53861e-14 -7.35773e-29 2.34639e-13 2.63557e-35 2.12923e-22 1.00957e-35
2.091 -7.62295e-14 -7.10646e-29 2.20662e-13 -1.69975e-35 1.98469e-22 2.33674e-35
2.0915 -7.70987e-14 -4.44003e-29 2.08259e-13 1.7751e-35 1.85609e-22 -7.86584e-36
2.092 -7.7986e-14 -3.92792e-29 1.97209e-13 5.95434e-37 1.74121e-22 1.28417e-35
2.0925 -7.88854e-14 -5.83448e-29 1.87328e-13 1.79758e-35 1.63821e-22 -9.04307e-36
2.093 -7.97924e-14 -4.73828e-29 1.7846e-13 1.29614e-36 1.54552e-22 -4.91363e-36
2.0935 -8.07038e-14 -4.18096e-29 1.70476e-13 8.50488e-36 1.46184e-22 -2.67556e-36
2.094 -8.16171e-14 -6.58815e-29 1.63264e-13 -8.68499e-36 1.38604e-22 -8.13435e-36
2.0945 -8.25306e-14 -3.56982e-29 1.5673e-13 3.25656e-36 1.31718e-22 -6.15194e-37
2.095 -8.3443e-14 -3.1798e-29 1.50795e-13 -1.24355e-35 1.25444e-22 -2.43119e-36
2.0955 -8.43534e-14 -1.79589e-29 1.45389e-13 1.42089e-35 1.19712e-22 -1.16146e-35
2.096 -8.52613e-14 -3.65145e-29 1.40453e-13 8.38877e-36 1.14463e-22 1.09028e-35
2.0965 -8.61663e-14 -4.11092e-29 1.35936e-13 5.75266e-36 1.09643e-22 1.24681e-36
2.097 -8.70681e-14 -1.31808e-30 1.31793e-13 -1.0953e-35 1.05208e-22 4.94255e-36
2.0975 -8.79669e-14 -4.93262e-29 1.27986e-13 -1.89937e-36 1.01118e-22 7.59837e-36
2.098 -8.88627e-14 -7.42321e-30 1.2448e-13 6.24897e-36 9.7339e-23 -4.85013e-36
2.0985 -8.97556e-14 -3.04571e-29 1.21247e-13 2.35392e-36 9.38394e-23 2.73784e-36
2.099 -9.06458e-14 -1.60034e-29 1.1826e-13 -1.99378e-37 9.05931e-23 -8.04088e-36
2.0995 -9.15336e-14 -1.8212e-29 1.15495e-13 9.8915e-36 8.75762e-23 8.73518e-36
2.1 -9.24192e-14 1.73676e-30 1.12934e-13 1.69736e-35 8.47679e-23 -6.7696e-36
2.1005 -9.3303e-14 -3.13458e-29 1.10556e-13 4.33935e-36 8.21497e-23 -6.87425e-36
2.101 -9.41853e-14 -5.37145e-30 1.08348e-13 -2.75247e-36 7.97048e-23 5.64123e-36
2.1015 -9.50663e-14 -1.02475e-29 1.06294e-13 4.43071e-36 7.74185e-23 -2.78064e-36
2.102 -9.59464e-14 -2.4045e-29 1.04381e-13 1.29355e-35 7.52776e-23 -4.2456e-36
